,DiagCode,Count
0,4019,95437
1,25000,46471
2,2724,44302
3,V5869,31013
4,4011,29420
5,42731,24996
6,V5861,24812
7,2720,22605
8,2449,21693
9,4280,19277
10,53081,18437
11,41401,17345
12,496,16941
13,2859,16237
14,41400,14584
15,78079,13666
16,5990,13007
17,28521,12061
18,3051,11279
19,2809,9961
20,311,9381
21,73300,9246
22,58881,9033
23,5859,8595
24,71590,8584
25,2722,7414
26,V4581,7379
27,412,6622
28,7242,6606
29,40390,6591
30,V5883,6553
31,78650,6449
32,V5866,6433
33,2948,6388
34,5856,6331
35,30000,5991
36,5849,5962
37,486,5915
38,7295,5781
39,49390,5749
40,V1254,5601
41,2768,5595
42,7812,5479
43,42789,5473
44,4439,5464
45,56210,5431
46,V1582,5427
47,78605,5358
48,27651,5354
49,72887,5261
50,60000,5227
51,7823,5174
52,V4582,5054
53,2761,5041
54,78659,4963
55,7802,4880
56,5853,4879
57,27800,4798
58,7245,4536
59,V103,4500
60,V4501,4438
61,V5867,4429
62,V7644,4387
63,2721,4385
64,5939,4371
65,185,4305
66,71690,4145
67,40391,4099
68,3310,4073
69,7862,4051
70,79029,4047
71,56400,3930
72,7197,3891
73,78900,3863
74,5533,3824
75,73390,3819
76,V1046,3795
77,2723,3786
78,49121,3766
79,7804,3704
80,71941,3540
81,V0481,3501
82,3320,3495
83,4254,3465
84,71946,3424
85,78609,3413
86,78791,3412
87,5854,3404
88,V4365,3391
89,V4589,3376
90,V420,3317
91,25002,3280
92,7840,3267
93,7291,3258
94,42732,3245
95,7140,3231
96,42781,3209
97,V1251,3177
98,4279,3151
99,4240,3089
100,78720,3058
101,7231,3002
102,4271,2982
103,25001,2950
104,33829,2949
105,78651,2939
106,2749,2916
107,72252,2884
108,51889,2880
109,7851,2878
110,2689,2831
111,V4511,2793
112,E8889,2776
113,7850,2767
114,78701,2759
115,7213,2699
116,5119,2689
117,79021,2674
118,7906,2672
119,71945,2653
120,2851,2651
121,51881,2644
122,E8859,2621
123,78702,2619
124,4241,2602
125,2767,2593
126,27801,2565
127,78039,2512
128,34590,2499
129,V5789,2497
130,29410,2481
131,4148,2466
132,42769,2465
133,V571,2452
134,V433,2413
135,7813,2398
136,32723,2398
137,4550,2349
138,3004,2328
139,4168,2328
140,4139,2288
141,V7283,2282
142,1629,2268
143,1749,2259
144,4293,2255
145,79431,2253
146,78321,2227
147,72402,2218
148,4928,2209
149,0389,2209
150,V4364,2204
151,43310,2204
152,4270,2184
153,42761,2132
154,25060,2127
155,71596,2107
156,29680,2086
157,5180,2067
158,4589,2059
159,V5863,2051
160,7244,2016
161,2639,2009
162,2875,1971
163,79022,1940
164,3572,1914
165,2113,1908
166,71536,1887
167,24900,1865
168,V4585,1865
169,43491,1865
170,78071,1846
171,4272,1837
172,6826,1835
173,25040,1830
174,7915,1827
175,V140,1815
176,3569,1809
177,V1005,1803
178,78060,1796
179,42760,1795
180,V1272,1778
181,78052,1772
182,7916,1765
183,4149,1758
184,2762,1752
185,4660,1743
186,4111,1726
187,V5391,1715
188,V6546,1712
189,45981,1703
190,515,1698
191,340,1688
192,78057,1686
193,1985,1686
194,72981,1682
195,7820,1668
196,V7281,1633
197,28529,1620
198,4779,1616
199,V7284,1616
200,79902,1607
201,2334,1596
202,41519,1593
203,78820,1588
204,3659,1578
205,5855,1575
206,5589,1569
207,2662,1564
208,70715,1556
209,V5811,1538
210,43820,1536
211,78841,1532
212,V726,1522
213,2800,1514
214,5070,1507
215,78830,1504
216,V5865,1492
217,99591,1486
218,78909,1476
219,V1588,1473
220,49320,1462
221,490,1460
222,72210,1453
223,5789,1445
224,4299,1444
225,7210,1440
226,V560,1410
227,V700,1399
228,2752,1397
229,4414,1388
230,4359,1388
231,E9289,1386
232,2900,1380
233,41071,1378
234,2989,1375
235,V053,1368
236,45340,1368
237,7993,1352
238,78097,1335
239,53550,1324
240,25080,1322
241,78906,1315
242,59970,1313
243,V163,1310
244,72989,1308
245,586,1301
246,1977,1301
247,7881,1300
248,7931,1299
249,7224,1286
250,V462,1284
251,28860,1282
252,V7612,1280
253,42823,1276
254,5920,1276
255,V4981,1275
256,2760,1267
257,V1259,1258
258,436,1255
259,V1011,1253
260,3970,1251
261,E8490,1238
262,79389,1237
263,V562,1234
264,57420,1232
265,7243,1226
266,42830,1211
267,4400,1211
268,7282,1211
269,V561,1210
270,42832,1209
271,V4502,1204
272,7925,1203
273,42822,1202
274,73301,1201
275,V5632,1197
276,V568,1195
277,4659,1191
278,V5631,1185
279,2766,1175
280,V4512,1175
281,5641,1166
282,2469,1150
283,73730,1135
284,V454,1133
285,70703,1121
286,V6759,1120
287,71509,1107
288,V1083,1106
289,49122,1104
290,0414,1100
291,2841,1095
292,29590,1093
293,V5721,1090
294,5715,1088
295,2769,1082
296,42833,1082
297,78703,1081
298,56211,1075
299,60001,1072
300,72885,1072
301,7856,1071
302,V5481,1070
303,V1581,1061
304,78192,1057
305,V854,1048
306,V0382,1040
307,79092,1029
308,2729,1014
309,79093,1012
310,5932,1005
311,4010,1003
312,2819,999
313,53011,997
314,72400,987
315,71940,986
316,49120,985
317,78722,985
318,4292,984
319,7226,982
320,V6751,980
321,V160,972
322,7234,971
323,7910,970
324,7100,970
325,591,969
326,920,969
327,78959,965
328,V5862,964
329,7962,960
330,4739,960
331,5601,959
332,5738,956
333,72610,956
334,V7651,953
335,40290,952
336,73309,951
337,78901,949
338,V5489,943
339,V667,943
340,V142,938
341,4264,937
342,3899,926
343,V4571,924
344,1970,913
345,1539,912
346,43889,912
347,20280,911
348,V148,907
349,78093,907
350,24290,903
351,72190,902
352,00845,899
353,33394,897
354,78904,896
355,V173,893
356,4940,890
357,78652,889
358,71947,885
359,3559,883
360,2869,881
361,3384,880
362,71535,880
363,2810,879
364,78907,878
365,27542,876
366,4142,876
367,V762,872
368,4263,869
369,71500,868
370,V5881,868
371,7866,867
372,V4579,864
373,29411,864
374,7919,861
375,28522,856
376,1623,831
377,7241,828
378,71595,827
379,725,820
380,5718,813
381,5781,813
382,1101,813
383,78099,808
384,25200,806
385,4571,806
386,2811,805
387,70719,805
388,V725,804
389,4580,804
390,34690,800
391,78843,800
392,43330,800
393,V5864,799
394,99592,798
395,319,798
396,1830,797
397,20300,789
398,4919,789
399,7852,789
400,V1301,788
401,5770,787
402,53540,784
403,78903,784
404,30500,782
405,70714,780
406,78607,779
407,7212,779
408,V573,775
409,7248,775
410,07070,775
411,71516,774
412,4409,773
413,7821,773
414,V4577,773
415,V707,772
416,V5878,772
417,V679,771
418,44020,769
419,70710,768
420,4619,766
421,V6709,765
422,3669,763
423,7230,758
424,V065,756
425,462,755
426,7843,753
427,V580,749
428,71591,746
429,V1051,745
430,7863,743
431,3319,741
432,36250,740
433,V672,736
434,7830,733
435,42821,733
436,42831,731
437,25070,731
438,23875,731
439,42611,730
440,51884,721
441,V8281,720
442,42843,720
443,27650,719
444,7905,718
445,5693,716
446,1991,714
447,78009,709
448,V5844,704
449,99673,702
450,1748,700
451,7837,698
452,V5832,692
453,V538,692
454,6929,690
455,53510,690
456,7220,688
457,29570,687
458,73302,685
459,4289,684
460,7810,683
461,V5812,683
462,70723,681
463,42820,680
464,V579,680
465,V153,680
466,V431,680
467,V528,679
468,49322,679
469,59080,678
470,71906,677
471,V7791,675
472,34290,671
473,34830,670
474,95901,669
475,V5849,668
476,5950,668
477,61172,666
478,6272,665
479,V524,664
480,V6700,663
481,2410,662
482,53010,661
483,7020,661
484,V5830,661
485,72283,657
486,V5889,656
487,58889,655
488,V8801,654
489,72251,652
490,7907,652
491,30002,652
